Model,Property,power,Official Price,Market Price
Lada Granta 2023,manual‏ / salon,1600 CC Turbo,error Car not available,"400,000 EGP To 580,000 EGP"
Lada Granta 2023,A/T / E1,1600 CC,error Car not available,"385,000 EGP To 650,000 EGP"
Changan Alsvin 2022,A/T / L2,1500 CC,"375,000 EGP",
Byd F3 2023,Manual,1500 CC,error Car not available,
Byd L3 2023,Automatic,1500 CC,error Car not available,
Nissan Juke 2022,A/T / Accenta Grade,1000 CC Turbo,error Car not available,
Chery Arrizo 5 2023,Manual / Base Line / Leather,1500 CC,"470,000 EGP",
Byd F3 2023,Automtic / Full Option,1500 CC,error Car not available,"695,000 EGP"
Chery Arrizo 5 2023,AT / BASELINE Leather / CVT,1500 CC,"515,000 EGP",
Toyota Rush 2023,A/T / F/O,1500 CC,error Car not available,
Chery Arrizo 5 2023,AT / HIGHLINE,1500 CC,"540,000 EGP",
Chevrolet Optra 2023,A/T / Luxury w Accessories,1500 CC,"541,500 EGP","660,000 EGP To 1,100,000 EGP"
Suzuki S Presso 2024,Automtic,1000 CC,"549,900 EGP","585,000 EGP"
Ds DS3 2021,A/T / OPERA,1200 CC Turbo,error Car not available,
Toyota Rush 2023,A/T / Highline,1500 CC,error Car not available,
Hyundai Accent RB 2023,A/T / TINTED GLASS,1600 CC,"565,000 EGP",
Soueast DX3 2023,Automtic,1500 CC Turbo,"575,000 EGP",
Hyundai Accent RB 2023,A/T / SR TINTED GLASS,1600 CC,"575,000 EGP",
Hyundai Accent RB 2023,A/T / DAB ABS TINTED GLASS,1600 CC,"590,000 EGP",
Byd F3 2024,Manual,1500 CC,"590,000 EGP","620,000 EGP"
Hyundai Accent RB 2023,A/T / DAB ABS PLUS TINTED GLASS,1600 CC,"605,000 EGP",
Mitsubishi Attrage 2023,A/T / Highline,1200 CC,"610,000 EGP",
Hyundai Accent RB 2023,A/T / Highline TINTED GLASS,1600 CC,"615,000 EGP",
Chery Tiggo 3 2023,Automtic / Tinted Glass,1600 CC,"615,000 EGP",
Renault Sandero 2023,A/T / Dynamic,1600 CC,error Car not available,
Mitsubishi Mirage 2023,A/T / Highline,1200 CC,"625,000 EGP",
Renault Sandero Step Way 2023,A/T / SW,1600 CC,error Car not available,
DFSK 330S 2022,manual‏ / High line,1250 CC,"640,000 EGP",
Toyota Belta 2023,A/T / Active,1500 CC,"640,000 EGP",
Renault Sandero Step Way 2023,A/T / SW Screen,1600 CC,error Car not available,
Suzuki Swift Dzire 2024,A/T / GLX Screen,1200 CC,"669,000 EGP",
Jetour X95 2022,A/T / Highline,1600 CC Turbo,error Car not available,
Peugeot 301 2023,A/T / Active,1600 CC,"669,990 EGP",
DFSK 330S 2022,M/T Highline,1500 CC,"670,000 EGP",
Citroën C Elysee 2023,A/T / Comfort,1600 CC,"674,000 EGP",
Toyota Rumion 2023,A/T / Active,1500 CC,"675,000 EGP",
Hyundai Elantra HD 2023,Automatic / GL / TINTED GLASS,1600 CC,"675,000 EGP",
Byd F3 2024,Automtic / Full Option,1500 CC,"680,000 EGP",
Hyundai Elantra HD 2023,Automatic / GL / SR / TINTED GLASS,1600 CC,"685,000 EGP",
Toyota Belta 2023,A/T / Smart,1500 CC,"695,000 EGP",
DFSK 330S 2022,M/T / TOPLINE,1500 CC,"695,000 EGP",
Nissan Sunny 2024,Manual‏ / Baseline,1500 CC,"695,400 EGP","700,000 EGP"
Soueast A5 2023,Automtic,1500 CC,"699,000 EGP",
Peugeot 301 2023,A/T / Allure,1600 CC,"699,990 EGP",
Skoda Fabia 2023,A/T / Dynamic,0 CC Turbo,"700,000 EGP",
Hyundai Elantra HD 2023,Automatic / GL / DAB / ABS / Tinted glass,1600 CC,"700,000 EGP",
Suzuki Swift 2024,Automatic /without screen,1200 CC,"704,900 EGP",
Hyundai Elantra HD 2023,A/T / HIGHLINE TINTED GLASS 15,1600 CC,"710,000 EGP",
Toyota Rumion 2023,A/T / GLX,1500 CC,"715,000 EGP",
Suzuki Swift 2024,Automatic / screen,1200 CC,"724,900 EGP",
Hyundai Elantra HD 2024,Automatic / GL / TINTED GLASS,1600 CC,"725,000 EGP","880,000 EGP To 1,050,000 EGP"
Nissan Sunny 2024,Automatic / Baseline,1500 CC,"726,500 EGP","801,500 EGP"
Citroën C Elysee 2023,A/T / Luxury,1600 CC,"729,000 EGP",
Chery Tiggo 7 2023,A/T / Baseline,1500 CC Turbo,"735,000 EGP",
Hyundai Elantra HD 2024,Automatic / GL / SR / TINTED GLASS,1600 CC,"735,000 EGP","900,000 EGP To 1,040,000 EGP"
Toyota Corolla 2023,Manual‏ / Active,1600 CC,"740,000 EGP",
Chery Arrizo 5 2024,Manual / Base Line / Leather,1500 CC,"740,000 EGP","830,000 EGP"
Suzuki Swift 2024 Facelift,A/T / without screen (2ton),1200 CC,"744,900 EGP",
Nissan Sunny 2024,A/T / plus,1500 CC,"747,000 EGP","840,000 EGP"
Hyundai Elantra HD 2024,Automatic / GL / DAB / ABS / Tinted glass,1600 CC,"750,000 EGP","925,000 EGP To 1,055,000 EGP"
Nissan Sunny 2024,A/T / Super Saloon,1500 CC,"761,000 EGP","841,000 EGP"
Suzuki Swift 2024 Facelift,A/T / screen (2ton),1200 CC,"764,900 EGP",
Zotye T300 2024,manual‏,1500 CC,"774,900 EGP",
Soueast Dx7 prime 2023,A/T / Flagship,1500 CC Turbo,"777,000 EGP",
MG 5 2023,A/T / Standard,1500 CC,"779,990 EGP",
Chery Arrizo 5 2024,AT / BASELINE Leather,1500 CC,"785,000 EGP","850,000 EGP"
Skoda Fabia 2023,A/T / Ambition,0 CC Turbo,"785,000 EGP",
Chery Tiggo 7 2023,A/T / Highline,1500 CC Turbo,"795,000 EGP",
Jetour X70 2023,A/T / Comfort,1500 CC Turbo,"799,000 EGP",
Suzuki Ciaz 2024,A/T / GL,1500 CC,"809,900 EGP",
Chery Arrizo 5 2024,AT / HIGHLINE,1500 CC,"810,000 EGP","910,000 EGP"
Citroën C3 2023,A/T / Feel,1200 CC,"819,000 EGP",
MG 5 2023,A/T / Comfort,1500 CC,"819,990 EGP",
Nissan Sentra 2024,Automatic / Base,1600 CC,"821,000 EGP","950,000 EGP To 1,290,000 EGP"
Kaiyi X3 2023,A/T / Prestige,1500 CC,"825,000 EGP",
Fiat Tipo 2023,AT / entry grade,1600 CC,"825,000 EGP",
MG 5 2024,A/T / Standard,1500 CC,"830,000 EGP","930,000 EGP"
Toyota C-HR 2023,Automtic,1200 CC Turbo,error Car not available,
Jac S2 2024,A/T / Smart,1500 CC,"849,900 EGP",
Kaiyi X3 2023,A/T / FlagShip,1500 CC,"850,000 EGP",
Skoda Fabia 2023,A/T / MC,0 CC Turbo,"850,000 EGP",
Seat Ibiza 2023,A/T / Reference,1000 CC Turbo,"850,000 EGP",
Jetour X70 2023,A/T / Luxury,1500 CC Turbo,"859,000 EGP",
MG 5 2023,A/T / Luxury,1500 CC,"859,990 EGP",
Hyundai Accent RB 2024,A/T / TINTED GLASS,1600 CC,"860,000 EGP","1,160,000 EGP"
Changan CS 35 Plus 2024,A/T / ELITE,1400 CC Turbo,"860,000 EGP","1,275,000 EGP"
Soueast DX5 2024,A/T / Top Line,1500 CC Turbo,"860,000 EGP",
Bestune T33 2023,A/T / Luxury,1600 CC,"870,000 EGP",
Suzuki Ciaz 2024,A/T / GLX,1500 CC,"874,900 EGP",
Dongfeng Aeolus A30 2023,A/T,1500 CC Turbo,"875,000 EGP",
Toyota Corolla 2023,Automatic / Active,1600 CC,"875,000 EGP",
Kaiyi X3 Pro 2023,A/T / FLAGSHIP,1500 CC Turbo,"875,000 EGP",
Baic X5 2023,Automtic,1500 CC Turbo,error Car not available,
Citroën C Elysee 2024,A/T / Comfort,1600 CC,"890,000 EGP",
Hyundai Accent RB 2024,A/T / SR TINTED GLASS,1600 CC,"890,000 EGP","1,000,000 EGP"
Hyundai Elantra HD 2024,A/T / HIGHLINE TINTED GLASS 15,1600 CC,"890,000 EGP","970,000 EGP To 1,190,000 EGP"
Leapmotor T03 2023,Automtic,0 CC,"893,000 EGP",
Suzuki Ciaz 2024,A/T / GLX B/L Roof,1500 CC,"899,900 EGP",
Suzuki Vitara 2023,A/T / One tone,1600 CC,"899,900 EGP",
Opel Corsa 2023,A/T / Elegance,1200 CC Turbo,"899,990 EGP",
MG ZS 2023,Automatic / Comfort,1500 CC,"899,990 EGP","1,350,000 EGP"
MG 5 2024,A/T / Luxury,1500 CC,"900,000 EGP","1,000,000 EGP"
Baic X3 2023,A/T / Luxury,1500 CC,error Car not available,"950,000 EGP"
Toyota Corolla 2023,Automtic / GR,1600 CC,"900,000 EGP",
Fiat 500 2023,A/T / PANORAMA,1400 CC,"900,000 EGP",
Geely Cool Ray 2023,A/T / Comfort,1500 CC Turbo,"900,000 EGP",
Suzuki Vitara 2023,A/T / Two tone,1600 CC,"909,900 EGP",
Fiat Tipo 2023,A/T / HB / entry grade,1600 CC,"910,000 EGP",
Fiat Tipo 2023,A/T / MIDE GRADE,1600 CC,"910,000 EGP",
Changan CS 35 Plus 2024,A/T / PREMIUM,1400 CC Turbo,"910,000 EGP","1,375,000 EGP"
Hyundai Accent RB 2024,A/T / DAB ABS TINTED GLASS,1600 CC,"915,000 EGP","1,215,000 EGP"
Mitsubishi Attrage 2024,A/T / Highline,1200 CC,"915,000 EGP",
MG ZS 2023,Automatic / Comfort / ACC,1500 CC,"919,990 EGP",
Toyota Corolla 2023,Automatic / Comfort,1600 CC,"920,000 EGP",
Bestune T33 2023,A/T / Premium,1600 CC,"924,000 EGP",
Kaiyi X3 Pro 2023,A/T / Luxury,1500 CC,"925,000 EGP",
Renault Taliant 2024,A/T / Evolution,1000 CC Turbo,"925,000 EGP",
Citroën C3 2023,A/T / Shine,1200 CC,"929,000 EGP",
Mitsubishi Mirage 2024,A/T / Highline,1200 CC,"930,000 EGP",
Hyundai Accent RB 2024,A/T / DAB ABS PLUS TINTED GLASS,1600 CC,"930,000 EGP","1,130,000 EGP"
Suzuki Baleno 2023,Automtic,1400 CC,"934,900 EGP","1,175,000 EGP"
MG ZS 2023,A/T / Luxury,1500 CC,"939,990 EGP",
Opel Corsa 2023,A/T / Top line Plus,1200 CC Turbo,"949,990 EGP",
Opel Crossland 2023,A/T / Elegance,1200 CC Turbo,"949,990 EGP",
Fiat 500C 2023,A/T / CABRIO,1400 CC,"950,000 EGP",
Toyota Corolla 2023,Automtic / SMART,1600 CC,"950,000 EGP",
Chery Tiggo 7 pro 2022,A/T / Comfort,1500 CC Turbo,"950,000 EGP",
Fiat Tipo 2023,A/T / Highline,1600 CC,"950,000 EGP",
Chery Tiggo 3 2024,Automtic / Tinted Glass,1600 CC,"955,000 EGP","1,035,000 EGP"
Citroën C3 Aircross 2023 Facelift,A/T / Feel,1200 CC Turbo,"959,000 EGP",
Citroën C Elysee 2024,A/T / Luxury,1600 CC,"960,000 EGP",
Jetour Dashing 2023,A/T / Comfort,1500 CC Turbo,"969,000 EGP",
Hyundai Accent RB 2024,A/T / Highline TINTED GLASS,1600 CC,"970,000 EGP","1,270,000 EGP"
Toyota Corolla 2023,Automatic / SMART / Sun Roof,1600 CC,"970,000 EGP",
MG ZS 2024,Automatic / Comfort,1500 CC,"975,000 EGP","1,150,000 EGP"
Seat Ibiza 2023,A/T / FR,1000 CC Turbo,"975,000 EGP",
Fiat Tipo 2023,A/T / HB / Highline,1600 CC,"975,000 EGP",
Changan CS 35 Plus 2024,A/T / FLAGSHIP,1400 CC Turbo,"980,000 EGP","1,450,000 EGP"
Suzuki Jimny 2023,A/T / One tone,1500 CC,"984,900 EGP",
Jetour X70 Plus 2023,A/T / Luxury,1500 CC Turbo,"989,000 EGP",
Soueast DX7 NOVA 2024,A/T / Highline,1500 CC Turbo,"989,900 EGP",
Suzuki Jimny 2023,A/T / Two tone,1500 CC,"994,900 EGP",
Nissan Sentra 2024,Automatic / upper,1600 CC,"999,000 EGP","1,188,500 EGP"
Seat Arona 2023,Automatic / Experience,1000 CC Turbo,"999,000 EGP",
Zotye T300 2024,Automtic,1500 CC Turbo,"999,000 EGP",
Geely GX3 Pro 2024,Automtic / (Abou Ghaly),1500 CC,"999,900 EGP",
Geely GX3 Pro 2024,A/T / Premium (AUTO MOBILITY),1500 CC,"999,900 EGP",
MG ZS 2024,Automatic / Comfort / ACC,1500 CC,"1,000,000 EGP","1,345,000 EGP"
Chery Tiggo 7 pro 2024,A/T / Comfort,1500 CC Turbo,"1,000,000 EGP","1,455,000 EGP To 1,800,000 EGP"
Geely Cool Ray 2024,A/T / Comfort / (Abou Ghaly),1500 CC Turbo,"1,012,900 EGP",
Changan CS55 Plus 2024,A/T / Elite,1500 CC Turbo,"1,015,000 EGP","1,625,000 EGP"
Jac JS3 2024,A/T / Top Line,1600 CC,"1,018,900 EGP",
Geely Cool Ray 2023,A/T / Premium,1500 CC Turbo,"1,019,000 EGP",
Opel Crossland 2023,A/T / Top Line,1200 CC Turbo,"1,019,990 EGP",
MG ZS 2024,A/T / Luxury,1500 CC,"1,020,000 EGP","1,530,000 EGP"
Chery Tiggo 7 pro 2022,A/T / Luxury,1500 CC Turbo,"1,020,000 EGP",
Suzuki Ertiga 2024,A/T / GLX,1500 CC,"1,024,900 EGP",
Renault Taliant 2024,A/T / Techno,1000 CC Turbo,"1,025,000 EGP",
Geely Cool Ray 2023,A/T / Premium / black,1500 CC Turbo,"1,029,000 EGP",
Toyota Corolla 2023,Automatic / Elgance,1600 CC,"1,034,000 EGP",
Jetour Dashing 2023,A/T / Luxury,1500 CC Turbo,"1,039,000 EGP",
Fiat Tipo 2024,A/T / Base,1600 CC,"1,050,000 EGP",
Bestune B70 2023,A/T / Standard,1500 CC Turbo,"1,050,000 EGP",
Citroën C3 2024,A/T / Feel,1200 CC,"1,055,000 EGP",
Citroën C3 Aircross 2023 Facelift,A/T / Shine,1200 CC Turbo,"1,059,000 EGP",
MG 6 2023,A/T / LUX / Black interior,1500 CC Turbo,"1,059,990 EGP",
Bestune T55 2023,A/T / DELUXE,1500 CC Turbo,"1,064,000 EGP",
Peugeot 2008 2023,A/T / ACTIVE,1200 CC Turbo,"1,069,990 EGP",
Bestune T77 Pro 2023,A/T / Comfort,1500 CC Turbo,"1,070,000 EGP",
MG 6 2023,A/T / LUX / Red Interior,1500 CC Turbo,"1,084,990 EGP",
Jac JS4 2024,A/T / Deluxe,1500 CC Turbo,"1,089,900 EGP",
Changan CS55 Plus 2024,A/T / Premium,1500 CC Turbo,"1,090,000 EGP","1,350,000 EGP"
Peugeot 301 2024,A/T / Active,1600 CC,error Car not available,
Chery Tiggo 7 pro 2024,A/T / Luxury,1500 CC Turbo,"1,100,000 EGP","1,900,000 EGP To 1,925,000 EGP"
Skoda Kamiq 2023,A/T / Ambition,1600 CC,"1,100,000 EGP",
Audi Q2 2023,A/T / ADVANCED,1400 CC Turbo,error Car not available,
DFSK Eagle pro 2022,Automtic / Black interior,1500 CC Turbo,"1,100,000 EGP",
Jaguar XE 2021,A/T / R Sport,2000 CC Turbo,error Car not available,
Mitsubishi Xpander 2023,Automatic / Midline,1500 CC,"1,100,000 EGP",
Bestune T55 2024,A/T / DELUXE,1500 CC Turbo,"1,105,000 EGP",
Renault Duster 2023,A/T / Vision,1600 CC,"1,110,000 EGP",
Forthing T5 evo 2023,Automtic / luxury,1500 CC Turbo,"1,110,000 EGP",
Bestune T77 Pro 2024,A/T / Comfort,1500 CC Turbo,"1,115,000 EGP",
Jac J7 2024,A/T / Deluxe,1500 CC Turbo,"1,119,900 EGP",
Citroën C4 2023,A/T / Feel,1200 CC Turbo,"1,120,000 EGP",
Bestune T55 2023,A/T / PREMIUM,1500 CC Turbo,"1,120,000 EGP",
Changan UNI-T 2024,A/T / Elite,1500 CC Turbo,"1,125,000 EGP",
Chery Tiggo 7 2024,A/T / Baseline,1500 CC Turbo,"1,125,000 EGP","1,425,000 EGP"
Chery Tiggo 8 Pro 2023,AT-6DCT COMFORT,1600 CC Turbo,"1,135,000 EGP",
Changan CS55 Plus 2024,A/T / Flagship,1500 CC Turbo,"1,140,000 EGP","1,525,000 EGP"
Bestune B70 2024,A/T / Standard,1500 CC Turbo,"1,145,000 EGP",
Peugeot 2008 2023,A/T / ALLURE,1200 CC Turbo,"1,149,990 EGP",
Opel Mokka 2023,A/T / Elegance,1200 CC Turbo,"1,149,990 EGP",
Peugeot 301 2024,A/T / Allure,1600 CC,error Car not available,
Bestune B70 2023,A/T / Comfort,1500 CC Turbo,"1,160,000 EGP",
Mitsubishi Xpander 2023,Automatic / HL,1500 CC,"1,160,000 EGP",
Bestune T77 Pro 2023,A/T / Deluxe,1500 CC Turbo,"1,160,000 EGP",
Bestune T55 2024,A/T / PREMIUM,1500 CC Turbo,"1,165,000 EGP",
Geely Cool Ray 2024,A/T / Premium /(Abou Ghaly),1500 CC Turbo,"1,166,900 EGP",
Jac J7 2024,A/T / Ultimate,1500 CC Turbo,"1,169,900 EGP",
Kia Sportage 2023,A/T / LX,1600 CC Turbo,"1,169,900 EGP",
GAC Empow 2024,A/T / GS,1500 CC Turbo,"1,170,000 EGP",
Citroën C4X 2023,Automatic / Feel,1200 CC Turbo,"1,170,000 EGP",
GAC GS3 Emzoom 2024,Automtic /GS,1500 CC Turbo,"1,180,000 EGP",
Jetour X70 2024,A/T / Comfort,1500 CC Turbo,"1,184,000 EGP","1,234,000 EGP"
Chery Tiggo 7 2024,A/T / Highline,1500 CC Turbo,"1,185,000 EGP","1,500,000 EGP"
Dongfeng A30 Shine 2024,A/T / SHINE -Limited Edition,1500 CC Turbo,"1,185,000 EGP",
Geely Cool Ray 2024,A/T / Premium / black / (Abou Ghaly),1500 CC Turbo,"1,188,900 EGP",
Jetour X90 Plus 2023,A/T / Luxury,1600 CC Turbo,"1,189,000 EGP",
Citroën C3 2024,A/T / Shine,1200 CC,"1,190,000 EGP",
Vgv U70 Pro 2024,Automtic,1500 CC Turbo,"1,195,000 EGP",
Dongfeng E70 PRO 2023,A/T,0 CC,"1,195,000 EGP",
Soueast DX8S Coupe 2024,A/T / Active,1500 CC Turbo,"1,199,000 EGP",
Fiat 500 X 2023,A/T / Cross,1400 CC Turbo,"1,200,000 EGP",
Changan UNI-T 2024,A/T / Premium,1500 CC Turbo,"1,200,000 EGP",
Mitsubishi Eclipse Cross 2023,A/T / Insport GLX,1500 CC Turbo,"1,200,000 EGP",
Bestune T55 2023,A/T / PREMIUM PLUS,1500 CC Turbo,"1,200,000 EGP",
Bestune T77 Pro 2024,A/T / Deluxe,1500 CC Turbo,"1,205,000 EGP",
Chery Tiggo 8 Pro 2023,A/T / Luxury,1600 CC Turbo,"1,210,000 EGP",
Bestune B70 2024,A/T / Comfort,1500 CC Turbo,"1,210,000 EGP",
Forthing T5 evo 2023,Automatic / Exclusive / NABA,1500 CC Turbo,"1,210,000 EGP",
GAC GS3 Emzoom 2024,Automtic /GS / MATT/G/G,1500 CC Turbo,"1,210,000 EGP",
Kia Grand Cerato 2023,A/T / LX FO,1600 CC,"1,219,900 EGP","1,350,000 EGP"
Peugeot 2008 2023,A/T / GT LINE,1200 CC Turbo,"1,219,990 EGP",
MG 6 2024,A/T / LUX / Black interior,1500 CC Turbo,"1,220,000 EGP","1,350,000 EGP To 1,615,000 EGP"
Bestune B70 2023,A/T / Deluxe,1500 CC Turbo,"1,224,000 EGP",
Citroën C4 2023,A/T / Shine Red interior,1200 CC Turbo,"1,225,000 EGP",
Citroën C3 Aircross 2024 Facelift,A/T / Feel,1200 CC Turbo,"1,225,000 EGP",
Chery Tiggo 8 Pro 2024,AT-6DCT COMFORT,1600 CC Turbo,"1,225,000 EGP","1,600,000 EGP To 1,830,000 EGP"
Fiat Tipo 2024,A/T / Highline,1600 CC,"1,225,000 EGP",
Bestune T77 Pro 2023,A/T / Premium,1500 CC Turbo,"1,240,000 EGP",
Bestune T55 2024,A/T / PREMIUM PLUS,1500 CC Turbo,"1,245,000 EGP",
Opel Mokka 2023,A/T / GS Line,1200 CC Turbo,"1,249,990 EGP",
Baic X3 2024,A/T / Luxury,1500 CC,error Car not available,
GAC GS3 Emzoom 2024,Automtic /GB,1500 CC Turbo,"1,250,000 EGP",
GAC GS4 2024,Automtic /GS,1500 CC Turbo,"1,250,000 EGP",
MG 6 2024,A/T / LUX / Red Interior,1500 CC Turbo,"1,250,000 EGP","1,400,000 EGP To 1,875,010 EGP"
Jetour X70 2024,A/T / Luxury,1500 CC Turbo,"1,254,000 EGP","1,314,000 EGP"
Peugeot 508 2023,A/T / Active Pack,1600 CC Turbo,"1,259,990 EGP",
Mitsubishi Eclipse Cross 2023,A/T / Inspire GLS,1500 CC Turbo,"1,265,000 EGP","1,575,000 EGP"
Bestune B70 2024,A/T / Deluxe,1500 CC Turbo,"1,275,000 EGP",
Chery Tiggo 8 Pro 2023,Automatic / Flagship,1600 CC Turbo,"1,275,000 EGP",
Seat Leon 2023,A/T / FR,1400 CC Turbo,"1,275,000 EGP",
Toyota Corolla 2023,A/T / High Line / Hybrid,1800 CC,"1,275,000 EGP",
Kia Sportage 2023,A/T / EX,1600 CC Turbo,"1,279,900 EGP",
Kia Grand Cerato 2023,A/T / EX Cam,1600 CC,"1,279,900 EGP",
GAC GS3 Emzoom 2024,A/T / GB / MATT / G / G,1500 CC Turbo,"1,280,000 EGP",
Bestune T77 Pro 2024,A/T / Premium,1500 CC Turbo,"1,285,000 EGP",
Geely Geometry C 2023,A/T / EV 400,0 CC,"1,288,000 EGP",
Volkswagen Golf 2023,A/T / Life,1400 CC Turbo,"1,290,000 EGP",
Changan UNI-T 2024,A/T / Flagship,1500 CC Turbo,"1,290,000 EGP","1,950,000 EGP"
Citroën C4X 2023,Automatic / Shine,1200 CC Turbo,"1,290,000 EGP",
Renault Megane 2023,A/T / Vision,1600 CC,"1,290,000 EGP",
Renault Duster 2023,A/T / Signature,1600 CC,"1,290,000 EGP","1,310,000 EGP To 1,800,000 EGP"
Audi A3 2023,A/T / Advanced,1400 CC Turbo,error Car not available,
Geely Okavango 2023,A/T / Premium,1500 CC Turbo,"1,300,000 EGP",
Ds DS7 2022,A/T / Performance plus,1600 CC Turbo,"1,300,000 EGP",
GAC GS4 2024,Automtic /GB,1500 CC Turbo,"1,300,000 EGP",
Fiat 500 X 2023,A/T / Panorama,1400 CC Turbo,"1,300,000 EGP",
Chery Tiggo 8 Pro 2024,A/T / Luxury,1600 CC Turbo,"1,300,000 EGP","1,780,000 EGP To 1,950,000 EGP"
GAC Empow 2024,A/T / GB,1500 CC Turbo,"1,310,000 EGP",
Bestune B70 2023,A/T / Premium,1500 CC Turbo,"1,320,000 EGP",
GAC GS3 Emzoom 2024,Automatic / GL,1500 CC Turbo,"1,320,000 EGP",
Bestune B70S 2023,A/T / Deluxe,1500 CC Turbo,"1,325,000 EGP",
Mitsubishi Eclipse Cross 2023,A/T / Instyle GLS,1500 CC Turbo,"1,325,000 EGP",
MG RX5 Plus 2023,A/T / Comfort,1500 CC Turbo,"1,330,000 EGP",
Chery Tiggo 8 2024,A/T / Comfort,1500 CC Turbo,"1,335,000 EGP","1,485,000 EGP"
Kia Grand Cerato 2023,A/T / Highline,1600 CC,"1,339,900 EGP",
Citroën C5 Aircross 2023 Facelift,A/T / Live,1600 CC Turbo,"1,340,000 EGP",
Nissan Qashqai 2024,A/T / VISIA,1300 CC Turbo,"1,341,500 EGP",
Nissan Qashqai 2024,AT / VISIA 2T,1300 CC Turbo,"1,346,500 EGP",
Geely Cool Ray 2024 Facelift,A/T / Full option / (Abou Ghaly),1500 CC Turbo,"1,349,900 EGP",
Geely Cool Ray 2024 Facelift,A/T / Comfort ( AUTO MOBILITY),1500 CC Turbo,"1,349,900 EGP",
Skoda Octavia A8 2023,A/T / Ambition,1400 CC Turbo,"1,350,000 EGP",
Suzuki Fronx 2024,A/T / GL,1500 CC,"1,350,000 EGP",
Audi Q2 2023,A/T / S Line,1400 CC Turbo,error Car not available,
GAC GS3 Emzoom 2024,A/T / GL / MATT / G / G,1500 CC Turbo,"1,350,000 EGP",
Seat Ibiza 2024,A/T / FR,1000 CC Turbo,"1,350,000 EGP",
Mini Cooper 2023,A/T / 3-Door Original,1500 CC Turbo,"1,350,000 EGP",
Fiat 500 X 2023,AT / cabrio,1400 CC Turbo,"1,350,000 EGP",
Citroën C3 Aircross 2024 Facelift,A/T / Shine,1200 CC Turbo,"1,370,000 EGP",
Chery Tiggo 8 Pro 2024,Automatic / Flagship,1600 CC Turbo,"1,375,000 EGP","2,100,000 EGP To 2,200,000 EGP"
Renault Megane 2023,A/T / Dynamic,1600 CC,"1,375,000 EGP","1,450,000 EGP"
KGM (ssangyong) Tivoli 2024,Automtic,1600 CC,"1,375,000 EGP",
Chery Tiggo 8 2024,A/T / Comfort 7 Seats,1500 CC Turbo,"1,385,000 EGP","1,600,000 EGP To 1,705,000 EGP"
Bestune B70S 2023,A/T / Premium,1500 CC Turbo,"1,385,000 EGP",
Geely Geometry C 2023,A/T / EV 550,0 CC,"1,388,000 EGP",
Ford Focus 2023,A/T / Trend 4d,1500 CC,"1,390,000 EGP",
